MESS_DATUM,P
2001-11-22,1015.8
2001-11-23,1018.42
2001-11-24,1021.99
2001-11-25,1018.74
2001-11-26,1011.55
2001-11-27,1010.91
2001-11-28,1017.29
2001-11-29,1021.31
2001-11-30,1016.83
2001-12-01,1021.71
2001-12-02,1026.41
2001-12-03,1027.19
2001-12-04,1019.09
2001-12-05,1021.58
2001-12-06,1021.87
2001-12-07,1037.59
2001-12-08,1041.69
2001-12-09,1042.35
2001-12-10,1040.8
2001-12-11,1034.65
2001-12-12,1028.34
2001-12-13,1032.2
2001-12-14,1040.29
2001-12-15,1035.76
2001-12-16,1035.48
2001-12-17,1034.41
2001-12-18,1035.0
2001-12-19,1027.45
2001-12-20,1023.98
2001-12-21,1014.01
2001-12-22,1004.84
2001-12-23,1016.96
2001-12-24,1016.54
2001-12-25,999.7
2001-12-26,1002.43
2001-12-27,1011.68
2001-12-28,1002.64
2001-12-29,998.52
2001-12-30,1006.77
2001-12-31,1025.59
2002-01-01,1037.7
2002-01-02,1035.07
2002-01-03,1039.38
2002-01-04,1040.5
2002-01-05,1043.06
2002-01-06,1039.26
2002-01-07,1034.57
2002-01-08,1037.21
2002-01-09,1040.41
2002-01-10,1039.55
2002-01-11,1036.66
2002-01-12,1035.55
2002-01-13,1032.85
2002-01-14,1031.44
2002-01-15,1025.25
2002-01-16,1024.65
2002-01-17,1027.23
2002-01-18,1024.62
2002-01-19,1019.98
2002-01-20,1020.42
2002-01-21,1016.2
2002-01-22,1013.14
2002-01-23,1009.91
2002-01-24,1003.3
2002-01-25,1018.61
2002-01-26,1015.76
2002-01-27,1009.27
2002-01-28,1020.09
2002-01-29,1026.14
2002-01-30,1022.88
2002-01-31,1019.4
2002-02-01,1024.84
2002-02-02,1028.32
2002-02-03,1022.42
2002-02-04,1022.26
2002-02-05,1011.61
2002-02-06,1006.01
2002-02-07,1020.03
2002-02-08,1022.38
2002-02-09,1012.88
2002-02-10,1011.42
2002-02-11,1012.61
2002-02-12,1012.88
2002-02-13,1015.94
2002-02-14,1023.32
2002-02-15,1027.59
2002-02-16,1026.2
2002-02-17,1022.75
2002-02-18,1019.9
2002-02-19,1018.93
2002-02-20,999.67
2002-02-21,1010.2
2002-02-22,1010.47
2002-02-23,1000.51
2002-02-24,1008.8
2002-02-25,1006.4
2002-02-26,1001.62
2002-02-27,1002.22
2002-02-28,1006.32
2002-03-01,1010.92
2002-03-02,1013.88
2002-03-03,1019.48
2002-03-04,1021.11
2002-03-05,1013.22
2002-03-06,1009.8
2002-03-07,1013.4
2002-03-08,1026.12
2002-03-09,1015.45
2002-03-10,1019.46
2002-03-11,1019.78
2002-03-12,1016.22
2002-03-13,1013.49
2002-03-14,1012.2
2002-03-15,1015.23
2002-03-16,1017.88
2002-03-17,1014.1
2002-03-18,1008.78
2002-03-19,1004.56
2002-03-20,1011.62
2002-03-21,1014.62
2002-03-22,1018.74
2002-03-23,1026.93
2002-03-24,1031.72
2002-03-25,1030.97
2002-03-26,1029.77
2002-03-27,1031.37
2002-03-28,1030.7
2002-03-29,1025.86
2002-03-30,1022.64
2002-03-31,1019.72
2002-04-01,1018.51
2002-04-02,1018.22
2002-04-03,1011.62
2002-04-04,1008.69
2002-04-05,1009.62
2002-04-06,1018.24
2002-04-07,1021.6
2002-04-08,1020.09
2002-04-09,1017.88
2002-04-10,1014.38
2002-04-11,1007.29
2002-04-12,997.81
2002-04-13,999.17
2002-04-14,1007.0
2002-04-15,1013.06
2002-04-16,1014.53
2002-04-17,1016.34
2002-04-18,1018.69
2002-04-19,1020.73
2002-04-20,1027.75
2002-04-21,1033.84
2002-04-22,1031.8
2002-04-23,1027.6
2002-04-24,1025.28
2002-04-25,1020.18
2002-04-26,1009.22
2002-04-27,1010.43
2002-04-28,1007.51
2002-04-29,1008.06
2002-04-30,1012.65
2002-05-01,1009.42
2002-05-02,1009.15
2002-05-03,1008.69
2002-05-04,1009.58
2002-05-05,1015.22
2002-05-06,1022.14
2002-05-07,1019.97
2002-05-08,1011.85
2002-05-09,1006.82
2002-05-10,1007.74
2002-05-11,1008.14
2002-05-12,1013.28
2002-05-13,1016.01
2002-05-14,1019.06
2002-05-15,1026.23
2002-05-16,1022.02
2002-05-17,1012.47
2002-05-18,1012.55
2002-05-19,1020.05
2002-05-20,1017.71
2002-05-21,1010.0
2002-05-22,1004.27
2002-05-23,1004.6
2002-05-24,1011.26
2002-05-25,1014.23
2002-05-26,1011.91
2002-05-27,1008.61
2002-05-28,1009.84
2002-05-29,1016.8
2002-05-30,1023.72
2002-05-31,1024.17
2002-06-01,1024.13
2002-06-02,1021.59
2002-06-03,1013.76
2002-06-04,1008.9
2002-06-05,1000.08
2002-06-06,1001.47
2002-06-07,1001.85
2002-06-08,1007.78
2002-06-09,1008.13
2002-06-10,1011.82
2002-06-11,1017.69
2002-06-12,1018.29
2002-06-13,1016.69
2002-06-14,1018.17
2002-06-15,1016.12
2002-06-16,1018.71
2002-06-17,1019.63
2002-06-18,1017.06
2002-06-19,1018.16
2002-06-20,1017.17
2002-06-21,1020.28
2002-06-22,1020.27
2002-06-23,1017.77
