File Name,Length,Amount of Anomaly Points,ADF Statistic,ADF Regression,ADF p-value,ADF lags,ADF Critical Value 10%,ADF Critical Value 5%,KPSS Statistics,KPSS Regression,KPSS p-value,KPSS Critical Value 10%,KPSS Critical Value 5%
Twitter_volume_CRM_anomaly.csv,15902,1593,-5.500459916890877,n,1.0463951067588396e-07,42,-1.6168032631964349,-1.9410169501266294,0.3315820528852594,c,0.1,0.347,0.463
Twitter_volume_IBM_anomaly.csv,15893,1590,-12.073011116269162,ct,2.9332685512729773e-19,26,-3.127212980428164,-3.4107667534161084,0.09457930192431895,ct,0.1,0.119,0.146
Twitter_volume_AAPL_anomaly.csv,15902,1588,-23.23204495771834,ct,0.0,16,-3.1272127854691307,-3.410766422349282,0.05199015820887292,ct,0.1,0.119,0.146
Twitter_volume_AMZN_anomaly.csv,15831,1580,-12.886518833472387,ct,1.9084690704537765e-20,21,-3.1272135681172655,-3.41076775139191,0.07555057643901791,ct,0.1,0.119,0.146
Twitter_volume_FB_anomaly.csv,15833,1582,-10.352481578375858,ct,4.2462541442921436e-16,31,-3.127213650939285,-3.4107678920349516,0.10957199155707185,ct,0.1,0.119,0.146
Twitter_volume_UPS_anomaly.csv,15866,1585,-23.492328633189945,ct,0.0,19,-3.1272131861533325,-3.4107671027653192,0.27591554219888353,ct,0.01,0.119,0.146
Twitter_volume_CVS_anomaly.csv,15853,1526,-17.52076189104559,ct,0.0,22,-3.1272133511077858,-3.410767382880352,0.08495493306645185,ct,0.1,0.119,0.146
Twitter_volume_GOOG_anomaly.csv,15842,1432,-10.607061413590817,ct,1.2972847445117645e-16,34,-3.12721358881491,-3.4107677865393224,0.08663408103894255,ct,0.1,0.119,0.146
Twitter_volume_KO_anomaly.csv,15851,1587,-17.75463682684285,ct,0.0,23,-3.127213382073879,-3.41076743546498,0.2672179911317331,ct,0.01,0.119,0.146
Twitter_volume_PFE_anomaly.csv,15858,1588,-10.492456142796472,ct,2.203489251681968e-16,42,-3.1272135060557438,-3.410767646003017,0.11066326175449699,ct,0.1,0.119,0.146
Twitter_volume_CRM_anomaly.csv,15902,1593,-8.614063320914974,ct,2.745753961135315e-12,42,-3.127213052372944,-3.4107668755880898,0.32757057115037563,ct,0.01,0.119,0.146
Twitter_volume_IBM_anomaly.csv,15893,1590,-12.089317248327033,ctt,1.2770730042766025e-19,26,-3.5534906777926976,-3.8327622732691187,0.09457930192431895,ct,0.1,0.119,0.146
Twitter_volume_AAPL_anomaly.csv,15902,1588,-23.23159290695493,ctt,0.0,16,-3.5534904018545364,-3.832761827934852,0.05199015820887292,ct,0.1,0.119,0.146
Twitter_volume_AMZN_anomaly.csv,15831,1580,-12.895598535441966,ctt,4.3625906791845964e-21,21,-3.5534915095871717,-3.8327636156954634,0.07555057643901791,ct,0.1,0.119,0.146
Twitter_volume_FB_anomaly.csv,15833,1582,-10.362208543823376,ctt,6.462932005516672e-16,31,-3.5534916268105414,-3.8327638048813406,0.10957199155707185,ct,0.1,0.119,0.146
Twitter_volume_UPS_anomaly.csv,15866,1585,-23.498520137195115,ctt,0.0,19,-3.553490968968865,-3.8327627431959237,0.27591554219888353,ct,0.01,0.119,0.146
Twitter_volume_CVS_anomaly.csv,15853,1526,-17.559494259790352,ctt,0.0,22,-3.5534912024395937,-3.8327631199924346,0.08495493306645185,ct,0.1,0.119,0.146
Twitter_volume_GOOG_anomaly.csv,15842,1432,-10.611532193480155,ctt,1.7290966147708066e-16,34,-3.553491538881889,-3.8327636629739774,0.08663408103894255,ct,0.1,0.119,0.146
Twitter_volume_KO_anomaly.csv,15851,1587,-17.84963947096068,ctt,0.0,23,-3.553491246267912,-3.8327631907266047,0.2672179911317331,ct,0.01,0.119,0.146
Twitter_volume_PFE_anomaly.csv,15858,1588,-10.492628274405657,ctt,3.2330759758420756e-16,42,-3.553491421747479,-3.832763473931678,0.11066326175449699,ct,0.1,0.119,0.146
Twitter_volume_CRM_anomaly.csv,15902,1593,-9.317699943683909,ctt,1.9919803033424303e-13,35,-3.5534906777926976,-3.8327622732691187,0.32757057115037563,ct,0.01,0.119,0.146
