Collection;Signal;TS_ST_C;ST_C;DS_ST_C;TS_ST_CT;ST_CT;DS_ST_CT;A_ST_C;A_ST_CT;A_ST_CTT;A_ST_N;TAG_THR;TAG_AC;TAG_PR;TAG_RE;TAG_F1;TG_dtw_m_ac;TG_dtw_m_pr;TG_dtw_m_re;TG_dtw_m_f1;TG_dtw_sum_ac;TG_dtw_sum_pr;TG_dtw_sum_rec;TG_dtw_sum_f1;TH_8_dtw_acc;TH_8_dtw_pr;TH_8_dtw_rec;TH_8_dtw_f1
realKnownCause;rogue_agent_key_updown;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;4;0,2614;0,1447;1;0,2529;0,777;0,121;0,127;0,124;nan;nan;nan;nan;0,834;0,058;0,021;0,031
realTweets;Twitter_volume_AAPL;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;4;0,9057;0,8;0,2581;0,3902;0,978;0,669;0,424;0,519;0,915;0,667;0,434;0,526;0,892;nan;0;nan
realTweets;Twitter_volume_AMZN;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;4;0,2614;0,1447;1;0,2529;0,968;1;0,714;0,833;0,964;1;0,679;0,809;0,888;nan;0;nan
realTweets;Twitter_volume_CRM;YES;NO;NO;NO;YES;NO;YES;YES;YES;YES;4;0,3472;0,1478;1;0,2575;0,927;0,759;0,594;0,666;0,928;0,764;0,594;0,668;0,878;nan;0;nan
realTweets;Twitter_volume_CVS;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;3,5;0,9167;0,8889;0,2759;0,4211;0,975;1;0,763;0,866;0,94;1;0,433;0,605;0,894;nan;0;nan
realTweets;Twitter_volume_FB;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;4;0,9315;0,8235;0,4828;0,6087;0,861;0,341;0,408;0,371;0,885;0,42;0,372;0,395;0,859;nan;0;nan
realTweets;Twitter_volume_GOOG;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;4;0,7576;0,2967;1;0,4576;0,788;0;0;nan;0,888;0,553;0,437;0,488;0,878;nan;0;nan
realTweets;Twitter_volume_IBM;NO;YES;NO;YES;NO;NO;YES;YES;YES;YES;4;0,659;0,2373;1;0,3836;0,768;0;0;nan;0,812;0,207;0,091;0,126;0,825;nan;0;nan
realTweets;Twitter_volume_KO;NO;YES;NO;NO;YES;NO;YES;YES;YES;YES;4;0,821;0,3896;1;0,5604;0,884;0,55;0,432;0,484;0,908;0,722;0,436;0,543;0,839;nan;0;nan
realTweets;Twitter_volume_PFE;YES;NO;NO;YES;NO;NO;YES;YES;YES;YES;4;0,25;0,127;1;0,2266;0,872;0,296;0,149;0,198;0,874;0;0;nan;0,894;nan;0;nan
realTweets;Twitter_volume_UPS;NO;YES;NO;NO;YES;NO;YES;YES;YES;YES;4;0,909;0,561;0,7931;0,6571;0,85;0,299;0,299;0,299;0,859;0;0;nan;0,894;nan;0;nan
