Date,P
1973-03,1023.5693548387096
1973-04,1013.8473333333333
1973-05,1016.8651612903226
1973-06,1018.3313333333333
1973-07,1013.4929032258065
1973-08,1018.6974193548386
1973-09,1017.0533333333333
1973-10,1019.6112903225807
1973-11,1020.3726666666666
1973-12,1016.5774193548388
1974-01,1021.0564516129032
1974-02,1011.9942857142858
1974-03,1015.3790322580645
1974-04,1013.7990000000001
1974-05,1013.7003225806451
1974-06,1013.7243333333333
1974-07,1016.081935483871
1974-08,1016.3893548387097
1974-09,1014.059
1974-10,1010.7838709677419
1974-11,1015.5046666666666
1974-12,1020.28
1975-01,1019.5935483870968
1975-02,1026.6571428571428
1975-03,1009.0764516129032
1975-04,1015.2773333333333
1975-05,1015.0103225806452
1975-06,1016.4203333333334
1975-07,1015.9683870967742
1975-08,1016.9667741935484
1975-09,1016.7023333333333
1975-10,1022.6154838709676
1975-11,1018.3626666666667
1975-12,1024.9335483870968
1976-01,1016.9961290322581
1976-02,1022.3103448275862
1976-03,1020.5967741935484
1976-04,1016.2900000000001
1976-05,1015.4541935483871
1976-06,1019.038
1976-07,1014.468064516129
1976-08,1018.3906451612903
1976-09,1015.3356666666666
1976-10,1010.0296774193548
1976-11,1017.9693333333333
1976-12,1012.2909677419354
1977-01,1014.3012903225806
1977-02,1010.6878571428572
1977-03,1019.1535483870967
1977-04,1014.2136666666667
1977-05,1015.1874193548388
1977-06,1013.6446666666667
1977-07,1013.5416129032259
1977-08,1013.344193548387
1977-09,1022.2299999999999
1977-10,1019.6606451612903
1977-11,1011.777
1977-12,1021.4132258064517
1978-01,1014.0332258064516
1978-02,1010.51
1978-03,1012.9064516129032
1978-04,1011.005
1978-05,1013.3916129032258
1978-06,1014.0166666666667
1978-07,1015.7522580645161
1978-08,1017.6925806451613
1978-09,1017.0186666666667
1978-10,1023.0754838709678
1978-11,1028.3393333333333
1978-12,1009.7525806451612
1979-01,1015.2877419354838
1979-02,1012.3610714285714
1979-03,1009.2893548387098
1979-04,1012.557
1979-05,1017.6206451612903
1979-06,1016.9366666666666
1979-07,1018.561935483871
1979-08,1014.6629032258064
1979-09,1020.4416666666667
1979-10,1015.9793548387097
1979-11,1017.284
1979-12,1013.336129032258
1980-01,1017.9709677419354
1980-02,1021.2931034482758
1980-03,1011.0693548387097
1980-04,1016.5396666666667
1980-05,1013.9074193548388
1980-06,1012.7246666666667
1980-07,1012.9867741935484
1980-08,1016.1564516129032
1980-09,1020.3903333333333
1980-10,1013.6045161290323
1980-11,1018.1716666666667
1980-12,1020.1729032258065
1981-01,1021.7512903225806
1981-02,1021.205
1981-03,1010.7212903225807
1981-04,1017.5823333333334
1981-05,1012.0183870967742
1981-06,1016.806
1981-07,1016.5032258064516
1981-08,1018.204193548387
1981-09,1016.9013333333334
1981-10,1012.5309677419355
1981-11,1023.5826666666667
1981-12,1004.0196774193548
1982-01,1021.4396774193549
1982-02,1023.3210714285715
1982-03,1017.4783870967742
1982-04,1017.5923333333334
1982-05,1019.1612903225806
1982-06,1014.369
1982-07,1017.2077419354838
1982-08,1015.544193548387
1982-09,1018.9599999999999
1982-10,1013.5874193548386
1982-11,1018.2813333333332
1982-12,1015.4729032258065
1983-01,1024.976129032258
1983-02,1019.8921428571429
1983-03,1017.647741935484
1983-04,1009.563
1983-05,1010.2609677419355
1983-06,1018.9926666666667
1983-07,1017.1464516129032
1983-08,1017.0593548387097
1983-09,1017.028
1983-10,1022.4625806451613
1983-11,1020.1413333333333
1983-12,1019.9358064516128
1984-01,1013.1741935483872
1984-02,1020.6306896551724
1984-03,1016.417741935484
1984-04,1018.9599999999999
1984-05,1007.9532258064515
1984-06,1015.745
1984-07,1018.1254838709677
1984-08,1017.5187096774193
1984-09,1011.0903333333333
1984-10,1018.7948387096774
1984-11,1013.599
1984-12,1024.665806451613
1985-01,1014.183870967742
1985-02,1024.1314285714286
1985-03,1014.5641935483872
1985-04,1012.5923333333334
1985-05,1010.9132258064517
1985-06,1014.4396666666667
1985-07,1017.3341935483871
1985-08,1016.5325806451613
1985-09,1021.1163333333333
1985-10,1025.73
1985-11,1015.385
1985-12,1018.1925806451613
1986-01,1010.2177419354839
1986-02,1016.4133333333333
1986-03,1016.5841935483871
1986-04,1010.3843333333333
1986-05,1017.6148387096774
1986-06,1016.508
1986-07,1017.3451612903226
1986-08,1014.9
1986-09,1021.4069999999999
1986-10,1020.2561290322581
1986-11,1023.563
1986-12,1019.3335483870968
1987-01,1020.8254838709678
1987-02,1016.0192857142857
1987-03,1018.5258064516129
1987-04,1018.0656666666667
1987-05,1014.671935483871
1987-06,1014.6533333333333
1987-07,1015.5922580645162
1987-08,1015.6358064516129
1987-09,1017.8196666666666
1987-10,1017.4958064516129
1987-11,1017.1633333333334
1987-12,1022.7703225806451
1988-01,1012.7919354838709
1988-02,1013.425172413793
1988-03,1011.3251612903225
1988-04,1015.997
1988-05,1013.2609677419355
1988-06,1014.4906666666667
1988-07,1015.3535483870968
1988-08,1014.6996774193548
1988-09,1018.7113333333333
1988-10,1018.7309677419355
1988-11,1023.3553333333333
1988-12,1022.6490322580645
1989-01,1032.9953333333333
1989-02,1020.3360714285715
1989-03,1016.0903225806452
1989-04,1009.0936666666668
1989-05,1019.9406451612903
1989-06,1016.7966666666667
1989-07,1018.3903225806453
1989-08,1014.6545161290322
1989-09,1018.8983333333333
1989-10,1019.7664516129033
1989-11,1019.5243333333333
1989-12,1016.9025806451613
1990-01,1024.1967741935484
1990-02,1015.0907142857143
1990-03,1026.5245161290322
1990-04,1014.524
1990-05,1019.5335483870969
1990-06,1014.3889999999999
1990-07,1018.9006451612903
1990-08,1018.6151612903226
1990-09,1017.303
1990-10,1015.0990322580645
1990-11,1014.3393333333333
1990-12,1019.0816129032257
1991-01,1025.8658064516128
1991-02,1020.0021428571429
1991-03,1015.7283870967742
1991-04,1016.8546666666666
1991-05,1018.832258064516
1991-06,1014.1516666666666
1991-07,1016.456129032258
1991-08,1019.0641935483872
1991-09,1016.9023333333333
1991-10,1017.9274193548387
1991-11,1016.1936666666667
1991-12,1029.1845161290323
1992-01,1030.8896774193547
1992-02,1025.575172413793
1992-03,1015.91
1992-04,1013.482
1992-05,1019.1009677419355
1992-06,1013.547
1992-07,1016.8793548387097
1992-08,1014.7570967741935
1992-09,1019.3496666666666
1992-10,1010.081935483871
1992-11,1017.0123333333335
1992-12,1021.7977419354838
1993-01,1025.4206451612904
1993-02,1029.2775
1993-03,1022.5048387096774
1993-04,1012.0580000000001
1993-05,1013.8312903225807
1993-06,1015.9673333333334
1993-07,1016.0209677419356
1993-08,1018.3458064516129
1993-09,1012.6743333333333
1993-10,1015.7809677419355
