Date,TT_TU,Rolling_Mean,adjusted_TT
1964-10-01,7.814838709677419,8.090113582993448,16.16225806451613
1964-11-01,5.235666666666666,7.932919138549004,13.583086021505377
1964-12-01,-0.3138709677419355,8.237623439624274,8.033548387096774
1965-01-01,0.8716129032258064,8.787220213817822,9.219032258064516
1965-02-01,-2.2239285714285715,8.575743407578084,6.123490783410139
1965-03-01,2.1848387096774196,8.651738031233998,10.53225806451613
1965-04-01,7.086666666666667,8.465988031234,15.434086021505376
1965-05-01,12.038387096774194,8.30381061187916,20.385806451612904
1965-06-01,16.175333333333334,8.15119950076805,24.522752688172044
1965-07-01,16.088387096774195,7.915554339477727,24.435806451612905
1965-08-01,15.29516129032258,7.819452188940093,23.64258064516129
1965-09-01,12.268333333333334,7.710118855606759,20.615752688172044
1965-10-01,7.199354838709677,7.6588285330261145,15.546774193548387
1965-11-01,1.5533333333333335,7.351967421915003,9.900752688172043
1965-12-01,3.1861290322580644,7.64363408858167,11.533548387096774
1966-01-01,-3.2983870967741935,7.29613408858167,5.049032258064516
1966-02-01,5.311428571428571,7.924080517153098,13.658847926267281
1966-03-01,3.196451612903226,8.008381592421916,11.543870967741936
1966-04-01,10.043333333333333,8.254770481310805,18.390752688172043
1966-05-01,13.151612903225805,8.347539298515105,21.499032258064517
1966-06-01,17.384999999999998,8.44834485407066,25.732419354838708
1966-07-01,15.69774193548387,8.415791090629801,24.045161290322582
1966-08-01,16.23483870967742,8.494097542242704,24.58225806451613
1966-09-01,13.694666666666667,8.612958653353814,22.042086021505376
1966-10-01,11.57258064516129,8.977394137224781,19.92
1966-11-01,1.6113333333333333,8.982227470558115,9.958752688172043
1966-12-01,2.073870967741936,8.889539298515105,10.421290322580646
1967-01-01,0.13258064516129028,9.175453277009728,8.48
1967-02-01,2.5760714285714283,8.9475068484383,10.923490783410138
1967-03-01,5.748064516129032,9.16014125704045,14.095483870967742
1967-04-01,7.054666666666666,8.911085701484895,15.402086021505376
1967-05-01,12.93774193548387,8.893263120839734,21.28516129032258
